Location,Month,Prices
"Charlottetown and Summerside, Prince Edward Island",Jan-90,50.3
"Charlottetown and Summerside, Prince Edward Island",Feb-90,50.5
"Charlottetown and Summerside, Prince Edward Island",Mar-90,50.8
"Charlottetown and Summerside, Prince Edward Island",Apr-90,51.1
"Charlottetown and Summerside, Prince Edward Island",May-90,51.7
"Charlottetown and Summerside, Prince Edward Island",Jun-90,52.2
"Charlottetown and Summerside, Prince Edward Island",Jul-90,53.2
"Charlottetown and Summerside, Prince Edward Island",Aug-90,53.2
"Charlottetown and Summerside, Prince Edward Island",Sep-90,53.2
"Charlottetown and Summerside, Prince Edward Island",Oct-90,53.3
"Charlottetown and Summerside, Prince Edward Island",Nov-90,53.7
"Charlottetown and Summerside, Prince Edward Island",Dec-90,60.5
"Charlottetown and Summerside, Prince Edward Island",Jan-91,68.4
"Charlottetown and Summerside, Prince Edward Island",Feb-91,68
"Charlottetown and Summerside, Prince Edward Island",Mar-91,64.3
"Charlottetown and Summerside, Prince Edward Island",Apr-91,60.1
"Charlottetown and Summerside, Prince Edward Island",May-91,56.5
"Charlottetown and Summerside, Prince Edward Island",Jun-91,56.6
"Charlottetown and Summerside, Prince Edward Island",Jul-91,55.6
"Charlottetown and Summerside, Prince Edward Island",Aug-91,55.3
"Charlottetown and Summerside, Prince Edward Island",Sep-91,56.2
"Charlottetown and Summerside, Prince Edward Island",Oct-91,57.3
"Charlottetown and Summerside, Prince Edward Island",Nov-91,57.2
"Charlottetown and Summerside, Prince Edward Island",Dec-91,57.3
"Charlottetown and Summerside, Prince Edward Island",Jan-92,57.7
"Charlottetown and Summerside, Prince Edward Island",Feb-92,57.9
"Charlottetown and Summerside, Prince Edward Island",Mar-92,57.7
"Charlottetown and Summerside, Prince Edward Island",Apr-92,56.4
"Charlottetown and Summerside, Prince Edward Island",May-92,57.1
"Charlottetown and Summerside, Prince Edward Island",Jun-92,56.4
"Charlottetown and Summerside, Prince Edward Island",Jul-92,56.4
"Charlottetown and Summerside, Prince Edward Island",Aug-92,56.6
"Charlottetown and Summerside, Prince Edward Island",Sep-92,56.6
"Charlottetown and Summerside, Prince Edward Island",Oct-92,56.6
"Charlottetown and Summerside, Prince Edward Island",Nov-92,56.6
"Charlottetown and Summerside, Prince Edward Island",Dec-92,56.6
"Charlottetown and Summerside, Prince Edward Island",Jan-93,56.6
"Charlottetown and Summerside, Prince Edward Island",Feb-93,56.6
"Charlottetown and Summerside, Prince Edward Island",Mar-93,56.6
"Charlottetown and Summerside, Prince Edward Island",Apr-93,54.2
"Charlottetown and Summerside, Prince Edward Island",May-93,54
"Charlottetown and Summerside, Prince Edward Island",Jun-93,54
"Charlottetown and Summerside, Prince Edward Island",Jul-93,54.5
"Charlottetown and Summerside, Prince Edward Island",Aug-93,54.5
"Charlottetown and Summerside, Prince Edward Island",Sep-93,54.5
"Charlottetown and Summerside, Prince Edward Island",Oct-93,54.7
"Charlottetown and Summerside, Prince Edward Island",Nov-93,54.7
"Charlottetown and Summerside, Prince Edward Island",Dec-93,54.7
"Charlottetown and Summerside, Prince Edward Island",Jan-94,53.3
"Charlottetown and Summerside, Prince Edward Island",Feb-94,53.2
"Charlottetown and Summerside, Prince Edward Island",Mar-94,53.2
"Charlottetown and Summerside, Prince Edward Island",Apr-94,53.2
"Charlottetown and Summerside, Prince Edward Island",May-94,54.2
"Charlottetown and Summerside, Prince Edward Island",Jun-94,54.2
"Charlottetown and Summerside, Prince Edward Island",Jul-94,54.8
"Charlottetown and Summerside, Prince Edward Island",Aug-94,56.5
"Charlottetown and Summerside, Prince Edward Island",Sep-94,57.1
"Charlottetown and Summerside, Prince Edward Island",Oct-94,58.3
"Charlottetown and Summerside, Prince Edward Island",Nov-94,58.1
"Charlottetown and Summerside, Prince Edward Island",Dec-94,57.6
"Charlottetown and Summerside, Prince Edward Island",Jan-95,58.1
"Charlottetown and Summerside, Prince Edward Island",Feb-95,58.3
"Charlottetown and Summerside, Prince Edward Island",Mar-95,58.3
"Charlottetown and Summerside, Prince Edward Island",Apr-95,58.3
"Charlottetown and Summerside, Prince Edward Island",May-95,58.5
"Charlottetown and Summerside, Prince Edward Island",Jun-95,59.1
"Charlottetown and Summerside, Prince Edward Island",Jul-95,59.1
"Charlottetown and Summerside, Prince Edward Island",Aug-95,59.3
"Charlottetown and Summerside, Prince Edward Island",Sep-95,59.8
"Charlottetown and Summerside, Prince Edward Island",Oct-95,59.7
"Charlottetown and Summerside, Prince Edward Island",Nov-95,59.2
"Charlottetown and Summerside, Prince Edward Island",Dec-95,57.7
"Charlottetown and Summerside, Prince Edward Island",Jan-96,57.7
"Charlottetown and Summerside, Prince Edward Island",Feb-96,57.7
"Charlottetown and Summerside, Prince Edward Island",Mar-96,58.2
"Charlottetown and Summerside, Prince Edward Island",Apr-96,59
"Charlottetown and Summerside, Prince Edward Island",May-96,59.2
"Charlottetown and Summerside, Prince Edward Island",Jun-96,59.9
"Charlottetown and Summerside, Prince Edward Island",Jul-96,59.9
"Charlottetown and Summerside, Prince Edward Island",Aug-96,60.2
"Charlottetown and Summerside, Prince Edward Island",Sep-96,60
"Charlottetown and Summerside, Prince Edward Island",Oct-96,60
"Charlottetown and Summerside, Prince Edward Island",Nov-96,62.7
"Charlottetown and Summerside, Prince Edward Island",Dec-96,62.4
"Charlottetown and Summerside, Prince Edward Island",Jan-97,64.3
"Charlottetown and Summerside, Prince Edward Island",Feb-97,64.2
"Charlottetown and Summerside, Prince Edward Island",Mar-97,64.7
"Charlottetown and Summerside, Prince Edward Island",Apr-97,65.2
"Charlottetown and Summerside, Prince Edward Island",May-97,64
"Charlottetown and Summerside, Prince Edward Island",Jun-97,62.5
"Charlottetown and Summerside, Prince Edward Island",Jul-97,61.1
"Charlottetown and Summerside, Prince Edward Island",Aug-97,60.5
"Charlottetown and Summerside, Prince Edward Island",Sep-97,60.2
"Charlottetown and Summerside, Prince Edward Island",Oct-97,60.2
"Charlottetown and Summerside, Prince Edward Island",Nov-97,60.8
"Charlottetown and Summerside, Prince Edward Island",Dec-97,60.8
"Charlottetown and Summerside, Prince Edward Island",Jan-98,62.2
"Charlottetown and Summerside, Prince Edward Island",Feb-98,60.8
"Charlottetown and Summerside, Prince Edward Island",Mar-98,55.9
"Charlottetown and Summerside, Prince Edward Island",Apr-98,55.9
"Charlottetown and Summerside, Prince Edward Island",May-98,52.9
"Charlottetown and Summerside, Prince Edward Island",Jun-98,52.9
"Charlottetown and Summerside, Prince Edward Island",Jul-98,53.1
"Charlottetown and Summerside, Prince Edward Island",Aug-98,53.1
"Charlottetown and Summerside, Prince Edward Island",Sep-98,51.4
"Charlottetown and Summerside, Prince Edward Island",Oct-98,51.4
"Charlottetown and Summerside, Prince Edward Island",Nov-98,52.7
"Charlottetown and Summerside, Prince Edward Island",Dec-98,52.4
"Charlottetown and Summerside, Prince Edward Island",Jan-99,51.6
"Charlottetown and Summerside, Prince Edward Island",Feb-99,51.6
"Charlottetown and Summerside, Prince Edward Island",Mar-99,50
"Charlottetown and Summerside, Prince Edward Island",Apr-99,49.9
"Charlottetown and Summerside, Prince Edward Island",May-99,50.8
"Charlottetown and Summerside, Prince Edward Island",Jun-99,51.1
"Charlottetown and Summerside, Prince Edward Island",Jul-99,54
"Charlottetown and Summerside, Prince Edward Island",Aug-99,55.3
"Charlottetown and Summerside, Prince Edward Island",Sep-99,57.2
"Charlottetown and Summerside, Prince Edward Island",Oct-99,58
"Charlottetown and Summerside, Prince Edward Island",Nov-99,62.4
"Charlottetown and Summerside, Prince Edward Island",Dec-99,62.4
"Charlottetown and Summerside, Prince Edward Island",Jan-00,64.4
"Charlottetown and Summerside, Prince Edward Island",Feb-00,64.4
"Charlottetown and Summerside, Prince Edward Island",Mar-00,66
"Charlottetown and Summerside, Prince Edward Island",Apr-00,66.5
"Charlottetown and Summerside, Prince Edward Island",May-00,68.8
"Charlottetown and Summerside, Prince Edward Island",Jun-00,68.9
"Charlottetown and Summerside, Prince Edward Island",Jul-00,67.2
"Charlottetown and Summerside, Prince Edward Island",Aug-00,71.7
"Charlottetown and Summerside, Prince Edward Island",Sep-00,70.1
"Charlottetown and Summerside, Prince Edward Island",Oct-00,72.2
"Charlottetown and Summerside, Prince Edward Island",Nov-00,75.1
"Charlottetown and Summerside, Prince Edward Island",Dec-00,73.7
"Charlottetown and Summerside, Prince Edward Island",Jan-01,76.4
"Charlottetown and Summerside, Prince Edward Island",Feb-01,67.5
"Charlottetown and Summerside, Prince Edward Island",Mar-01,67.5
"Charlottetown and Summerside, Prince Edward Island",Apr-01,70.1
"Charlottetown and Summerside, Prince Edward Island",May-01,72.1
"Charlottetown and Summerside, Prince Edward Island",Jun-01,73.4
"Charlottetown and Summerside, Prince Edward Island",Jul-01,76.3
"Charlottetown and Summerside, Prince Edward Island",Aug-01,73
"Charlottetown and Summerside, Prince Edward Island",Sep-01,69.1
"Charlottetown and Summerside, Prince Edward Island",Oct-01,70.9
"Charlottetown and Summerside, Prince Edward Island",Nov-01,67.3
"Charlottetown and Summerside, Prince Edward Island",Dec-01,65.1
"Charlottetown and Summerside, Prince Edward Island",Jan-02,62
"Charlottetown and Summerside, Prince Edward Island",Feb-02,62
"Charlottetown and Summerside, Prince Edward Island",Mar-02,60.3
"Charlottetown and Summerside, Prince Edward Island",Apr-02,62.8
"Charlottetown and Summerside, Prince Edward Island",May-02,65.3
"Charlottetown and Summerside, Prince Edward Island",Jun-02,63.9
"Charlottetown and Summerside, Prince Edward Island",Jul-02,62.1
"Charlottetown and Summerside, Prince Edward Island",Aug-02,63.7
"Charlottetown and Summerside, Prince Edward Island",Sep-02,65
"Charlottetown and Summerside, Prince Edward Island",Oct-02,68.3
"Charlottetown and Summerside, Prince Edward Island",Nov-02,69.7
"Charlottetown and Summerside, Prince Edward Island",Dec-02,65.5
"Charlottetown and Summerside, Prince Edward Island",Jan-03,66.5
"Charlottetown and Summerside, Prince Edward Island",Feb-03,72.7
"Charlottetown and Summerside, Prince Edward Island",Mar-03,83.3
"Charlottetown and Summerside, Prince Edward Island",Apr-03,81.8
"Charlottetown and Summerside, Prince Edward Island",May-03,68.8
"Charlottetown and Summerside, Prince Edward Island",Jun-03,63.4
"Charlottetown and Summerside, Prince Edward Island",Jul-03,63
"Charlottetown and Summerside, Prince Edward Island",Aug-03,63.5
"Charlottetown and Summerside, Prince Edward Island",Sep-03,64.5
"Charlottetown and Summerside, Prince Edward Island",Oct-03,62.5
"Charlottetown and Summerside, Prince Edward Island",Nov-03,64.1
"Charlottetown and Summerside, Prince Edward Island",Dec-03,63.3
"Charlottetown and Summerside, Prince Edward Island",Jan-04,65
"Charlottetown and Summerside, Prince Edward Island",Feb-04,67.6
"Charlottetown and Summerside, Prince Edward Island",Mar-04,69.5
"Charlottetown and Summerside, Prince Edward Island",Apr-04,74
"Charlottetown and Summerside, Prince Edward Island",May-04,71.6
"Charlottetown and Summerside, Prince Edward Island",Jun-04,75.5
"Charlottetown and Summerside, Prince Edward Island",Jul-04,75.1
"Charlottetown and Summerside, Prince Edward Island",Aug-04,76.4
"Charlottetown and Summerside, Prince Edward Island",Sep-04,79.7
"Charlottetown and Summerside, Prince Edward Island",Oct-04,83.9
"Charlottetown and Summerside, Prince Edward Island",Nov-04,89.5
"Charlottetown and Summerside, Prince Edward Island",Dec-04,83.6
"Charlottetown and Summerside, Prince Edward Island",Jan-05,83.4
"Charlottetown and Summerside, Prince Edward Island",Feb-05,82.3
"Charlottetown and Summerside, Prince Edward Island",Mar-05,87
"Charlottetown and Summerside, Prince Edward Island",Apr-05,94
"Charlottetown and Summerside, Prince Edward Island",May-05,96.3
"Charlottetown and Summerside, Prince Edward Island",Jun-05,94.5
"Charlottetown and Summerside, Prince Edward Island",Jul-05,98.8
"Charlottetown and Summerside, Prince Edward Island",Aug-05,97.5
"Charlottetown and Summerside, Prince Edward Island",Sep-05,103.7
"Charlottetown and Summerside, Prince Edward Island",Oct-05,107.7
"Charlottetown and Summerside, Prince Edward Island",Nov-05,103.1
"Charlottetown and Summerside, Prince Edward Island",Dec-05,97.8
"Charlottetown and Summerside, Prince Edward Island",Jan-06,96.8
"Charlottetown and Summerside, Prince Edward Island",Feb-06,97.8
"Charlottetown and Summerside, Prince Edward Island",Mar-06,97.8
"Charlottetown and Summerside, Prince Edward Island",Apr-06,104.3
"Charlottetown and Summerside, Prince Edward Island",May-06,109.8
"Charlottetown and Summerside, Prince Edward Island",Jun-06,108
"Charlottetown and Summerside, Prince Edward Island",Jul-06,107
"Charlottetown and Summerside, Prince Edward Island",Aug-06,109.8
"Charlottetown and Summerside, Prince Edward Island",Sep-06,99.2
"Charlottetown and Summerside, Prince Edward Island",Oct-06,92
"Charlottetown and Summerside, Prince Edward Island",Nov-06,92
"Charlottetown and Summerside, Prince Edward Island",Dec-06,97.4
"Charlottetown and Summerside, Prince Edward Island",Jan-07,95.2
"Charlottetown and Summerside, Prince Edward Island",Feb-07,94.4
"Charlottetown and Summerside, Prince Edward Island",Mar-07,102.6
"Charlottetown and Summerside, Prince Edward Island",Apr-07,103.8
"Charlottetown and Summerside, Prince Edward Island",May-07,103.2
"Charlottetown and Summerside, Prince Edward Island",Jun-07,99.8
"Charlottetown and Summerside, Prince Edward Island",Jul-07,103
"Charlottetown and Summerside, Prince Edward Island",Aug-07,103.4
"Charlottetown and Summerside, Prince Edward Island",Sep-07,103.8
"Charlottetown and Summerside, Prince Edward Island",Oct-07,104.8
"Charlottetown and Summerside, Prince Edward Island",Nov-07,109
"Charlottetown and Summerside, Prince Edward Island",Dec-07,114.2
"Charlottetown and Summerside, Prince Edward Island",Jan-08,114.9
"Charlottetown and Summerside, Prince Edward Island",Feb-08,114
"Charlottetown and Summerside, Prince Edward Island",Mar-08,127.5
"Charlottetown and Summerside, Prince Edward Island",Apr-08,134.8
"Charlottetown and Summerside, Prince Edward Island",May-08,143
"Charlottetown and Summerside, Prince Edward Island",Jun-08,152.2
"Charlottetown and Summerside, Prince Edward Island",Jul-08,153.8
"Charlottetown and Summerside, Prince Edward Island",Aug-08,144.2
"Charlottetown and Summerside, Prince Edward Island",Sep-08,132.8
"Charlottetown and Summerside, Prince Edward Island",Oct-08,120.8
"Charlottetown and Summerside, Prince Edward Island",Nov-08,107.5
"Charlottetown and Summerside, Prince Edward Island",Dec-08,96.9
"Charlottetown and Summerside, Prince Edward Island",Jan-09,95.7
"Charlottetown and Summerside, Prince Edward Island",Feb-09,92.2
"Charlottetown and Summerside, Prince Edward Island",Mar-09,87.3
"Charlottetown and Summerside, Prince Edward Island",Apr-09,90.7
"Charlottetown and Summerside, Prince Edward Island",May-09,86.6
"Charlottetown and Summerside, Prince Edward Island",Jun-09,92.2
"Charlottetown and Summerside, Prince Edward Island",Jul-09,92.8
"Charlottetown and Summerside, Prince Edward Island",Aug-09,96.4
"Charlottetown and Summerside, Prince Edward Island",Sep-09,95.9
"Charlottetown and Summerside, Prince Edward Island",Oct-09,95.3
"Charlottetown and Summerside, Prince Edward Island",Nov-09,100
"Charlottetown and Summerside, Prince Edward Island",Dec-09,98.9
"Charlottetown and Summerside, Prince Edward Island",Jan-10,104.4
"Charlottetown and Summerside, Prince Edward Island",Feb-10,99.6
"Charlottetown and Summerside, Prince Edward Island",Mar-10,101.9
"Charlottetown and Summerside, Prince Edward Island",Apr-10,101.4
"Charlottetown and Summerside, Prince Edward Island",May-10,100.5
"Charlottetown and Summerside, Prince Edward Island",Jun-10,97.6
"Charlottetown and Summerside, Prince Edward Island",Jul-10,97.8
"Charlottetown and Summerside, Prince Edward Island",Aug-10,98.9
"Charlottetown and Summerside, Prince Edward Island",Sep-10,100.2
"Charlottetown and Summerside, Prince Edward Island",Oct-10,104.5
"Charlottetown and Summerside, Prince Edward Island",Nov-10,106.9
"Charlottetown and Summerside, Prince Edward Island",Dec-10,108.9
"Charlottetown and Summerside, Prince Edward Island",Jan-11,113.7
"Charlottetown and Summerside, Prince Edward Island",Feb-11,119.2
"Charlottetown and Summerside, Prince Edward Island",Mar-11,126.8
"Charlottetown and Summerside, Prince Edward Island",Apr-11,128.2
"Charlottetown and Summerside, Prince Edward Island",May-11,122.8
"Charlottetown and Summerside, Prince Edward Island",Jun-11,121.3
"Charlottetown and Summerside, Prince Edward Island",Jul-11,122.7
"Charlottetown and Summerside, Prince Edward Island",Aug-11,120.7
"Charlottetown and Summerside, Prince Edward Island",Sep-11,124
"Charlottetown and Summerside, Prince Edward Island",Oct-11,125
"Charlottetown and Summerside, Prince Edward Island",Nov-11,130.7
"Charlottetown and Summerside, Prince Edward Island",Dec-11,130
"Charlottetown and Summerside, Prince Edward Island",Jan-12,128.6
"Charlottetown and Summerside, Prince Edward Island",Feb-12,130
"Charlottetown and Summerside, Prince Edward Island",Mar-12,131.7
"Charlottetown and Summerside, Prince Edward Island",Apr-12,130.5
"Charlottetown and Summerside, Prince Edward Island",May-12,125.7
"Charlottetown and Summerside, Prince Edward Island",Jun-12,118
"Charlottetown and Summerside, Prince Edward Island",Jul-12,119
"Charlottetown and Summerside, Prince Edward Island",Aug-12,123.3
"Charlottetown and Summerside, Prince Edward Island",Sep-12,128.7
"Charlottetown and Summerside, Prince Edward Island",Oct-12,132.2
"Charlottetown and Summerside, Prince Edward Island",Nov-12,131.1
"Charlottetown and Summerside, Prince Edward Island",Dec-12,128.9
"Charlottetown and Summerside, Prince Edward Island",Jan-13,130.8
"Charlottetown and Summerside, Prince Edward Island",Feb-13,137.6
"Charlottetown and Summerside, Prince Edward Island",Mar-13,136.1
"Charlottetown and Summerside, Prince Edward Island",Apr-13,136.3
"Charlottetown and Summerside, Prince Edward Island",May-13,131.6
"Charlottetown and Summerside, Prince Edward Island",Jun-13,132.8
"Charlottetown and Summerside, Prince Edward Island",Jul-13,136.7
"Charlottetown and Summerside, Prince Edward Island",Aug-13,137.9
"Charlottetown and Summerside, Prince Edward Island",Sep-13,143
"Charlottetown and Summerside, Prince Edward Island",Oct-13,141
"Charlottetown and Summerside, Prince Edward Island",Nov-13,143.3
"Charlottetown and Summerside, Prince Edward Island",Dec-13,147.2
"Charlottetown and Summerside, Prince Edward Island",Jan-14,148.3
"Charlottetown and Summerside, Prince Edward Island",Feb-14,154.6
"Charlottetown and Summerside, Prince Edward Island",Mar-14,153.4
"Charlottetown and Summerside, Prince Edward Island",Apr-14,146.3
"Charlottetown and Summerside, Prince Edward Island",May-14,143.6
"Charlottetown and Summerside, Prince Edward Island",Jun-14,141.8
"Charlottetown and Summerside, Prince Edward Island",Jul-14,138.8
"Charlottetown and Summerside, Prince Edward Island",Aug-14,137.5
"Charlottetown and Summerside, Prince Edward Island",Sep-14,137.7
"Charlottetown and Summerside, Prince Edward Island",Oct-14,134.7
"Charlottetown and Summerside, Prince Edward Island",Nov-14,133.5
"Charlottetown and Summerside, Prince Edward Island",Dec-14,124.6
"Charlottetown and Summerside, Prince Edward Island",Jan-15,115.6
"Charlottetown and Summerside, Prince Edward Island",Feb-15,121
"Charlottetown and Summerside, Prince Edward Island",Mar-15,128.4
"Charlottetown and Summerside, Prince Edward Island",Apr-15,117.1
"Charlottetown and Summerside, Prince Edward Island",May-15,117.6
"Charlottetown and Summerside, Prince Edward Island",Jun-15,116.2
"Charlottetown and Summerside, Prince Edward Island",Jul-15,112.5
"Charlottetown and Summerside, Prince Edward Island",Aug-15,107
"Charlottetown and Summerside, Prince Edward Island",Sep-15,104.3
"Charlottetown and Summerside, Prince Edward Island",Oct-15,111.8
"Charlottetown and Summerside, Prince Edward Island",Nov-15,112.6
"Charlottetown and Summerside, Prince Edward Island",Dec-15,105.7
"Charlottetown and Summerside, Prince Edward Island",Jan-16,98.6
"Charlottetown and Summerside, Prince Edward Island",Feb-16,98.7
"Charlottetown and Summerside, Prince Edward Island",Mar-16,100.9
"Charlottetown and Summerside, Prince Edward Island",Apr-16,98.9
"Charlottetown and Summerside, Prince Edward Island",May-16,98
"Charlottetown and Summerside, Prince Edward Island",Jun-16,102.8
"Charlottetown and Summerside, Prince Edward Island",Jul-16,101.1
"Charlottetown and Summerside, Prince Edward Island",Aug-16,95.5
"Charlottetown and Summerside, Prince Edward Island",Sep-16,101.4
"Charlottetown and Summerside, Prince Edward Island",Oct-16,111.8
"Charlottetown and Summerside, Prince Edward Island",Nov-16,112.4
"Charlottetown and Summerside, Prince Edward Island",Dec-16,113.9
"Charlottetown and Summerside, Prince Edward Island",Jan-17,117.6
"Charlottetown and Summerside, Prince Edward Island",Feb-17,115
"Charlottetown and Summerside, Prince Edward Island",Mar-17,113.4
"Charlottetown and Summerside, Prince Edward Island",Apr-17,114.1
"Charlottetown and Summerside, Prince Edward Island",May-17,110.4
"Charlottetown and Summerside, Prince Edward Island",Jun-17,107
"Charlottetown and Summerside, Prince Edward Island",Jul-17,103.5
"Charlottetown and Summerside, Prince Edward Island",Aug-17,108.8
"Charlottetown and Summerside, Prince Edward Island",Sep-17,112.4
"Charlottetown and Summerside, Prince Edward Island",Oct-17,115.6
"Charlottetown and Summerside, Prince Edward Island",Nov-17,123
"Charlottetown and Summerside, Prince Edward Island",Dec-17,124.1
"Charlottetown and Summerside, Prince Edward Island",Jan-18,127.9
"Charlottetown and Summerside, Prince Edward Island",Feb-18,124.5
"Charlottetown and Summerside, Prince Edward Island",Mar-18,127
"Charlottetown and Summerside, Prince Edward Island",Apr-18,129.5
"Charlottetown and Summerside, Prince Edward Island",May-18,134.8
"Charlottetown and Summerside, Prince Edward Island",Jun-18,136
"Charlottetown and Summerside, Prince Edward Island",Jul-18,133.7
"Charlottetown and Summerside, Prince Edward Island",Aug-18,132.3
"Charlottetown and Summerside, Prince Edward Island",Sep-18,135.7
"Charlottetown and Summerside, Prince Edward Island",Oct-18,143.1
"Charlottetown and Summerside, Prince Edward Island",Nov-18,136.4
"Charlottetown and Summerside, Prince Edward Island",Dec-18,125.9
"Charlottetown and Summerside, Prince Edward Island",Jan-19,120.5
"Charlottetown and Summerside, Prince Edward Island",Feb-19,126
"Charlottetown and Summerside, Prince Edward Island",Mar-19,127.4
"Charlottetown and Summerside, Prince Edward Island",Apr-19,133.8
"Charlottetown and Summerside, Prince Edward Island",May-19,135.3
"Charlottetown and Summerside, Prince Edward Island",Jun-19,124.9
"Charlottetown and Summerside, Prince Edward Island",Jul-19,127.4
"Charlottetown and Summerside, Prince Edward Island",Aug-19,123.5
"Charlottetown and Summerside, Prince Edward Island",Sep-19,126.6
"Charlottetown and Summerside, Prince Edward Island",Oct-19,129.7
"Charlottetown and Summerside, Prince Edward Island",Nov-19,130.6
"Charlottetown and Summerside, Prince Edward Island",Dec-19,132.9
"Charlottetown and Summerside, Prince Edward Island",Jan-20,129.9
"Charlottetown and Summerside, Prince Edward Island",Feb-20,118.6
"Charlottetown and Summerside, Prince Edward Island",Mar-20,102.2
"Charlottetown and Summerside, Prince Edward Island",Apr-20,92.4
"Charlottetown and Summerside, Prince Edward Island",May-20,84.4
"Charlottetown and Summerside, Prince Edward Island",Jun-20,95.4
"Charlottetown and Summerside, Prince Edward Island",Jul-20,100.1
"Charlottetown and Summerside, Prince Edward Island",Aug-20,100.1
"Charlottetown and Summerside, Prince Edward Island",Sep-20,96.2
"Charlottetown and Summerside, Prince Edward Island",Oct-20,99.6
"Charlottetown and Summerside, Prince Edward Island",Nov-20,102.4
"Charlottetown and Summerside, Prince Edward Island",Dec-20,110.2
"Charlottetown and Summerside, Prince Edward Island",Jan-21,114.7
"Charlottetown and Summerside, Prince Edward Island",Feb-21,121.7
"Charlottetown and Summerside, Prince Edward Island",Mar-21,127.1
"Charlottetown and Summerside, Prince Edward Island",Apr-21,123
"Charlottetown and Summerside, Prince Edward Island",May-21,126.2
"Charlottetown and Summerside, Prince Edward Island",Jun-21,130.3
"Charlottetown and Summerside, Prince Edward Island",Jul-21,134.5
"Charlottetown and Summerside, Prince Edward Island",Aug-21,133.9
"Charlottetown and Summerside, Prince Edward Island",Sep-21,137.5
"Charlottetown and Summerside, Prince Edward Island",Oct-21,151.7
"Charlottetown and Summerside, Prince Edward Island",Nov-21,154.7
"Charlottetown and Summerside, Prince Edward Island",Dec-21,145.6
"Charlottetown and Summerside, Prince Edward Island",Jan-22,157.3
"Charlottetown and Summerside, Prince Edward Island",Feb-22,170.3
"Charlottetown and Summerside, Prince Edward Island",Mar-22,197.4
"Charlottetown and Summerside, Prince Edward Island",Apr-22,212.6
"Charlottetown and Summerside, Prince Edward Island",May-22,246.4
"Charlottetown and Summerside, Prince Edward Island",Jun-22,229.2
"Charlottetown and Summerside, Prince Edward Island",Jul-22,211.5
"Charlottetown and Summerside, Prince Edward Island",Aug-22,199.7
"Charlottetown and Summerside, Prince Edward Island",Sep-22,202.2
"Charlottetown and Summerside, Prince Edward Island",Oct-22,233.3
"Charlottetown and Summerside, Prince Edward Island",Nov-22,268.6
"Charlottetown and Summerside, Prince Edward Island",Dec-22,245.9
"Charlottetown and Summerside, Prince Edward Island",Jan-23,220.5
"Charlottetown and Summerside, Prince Edward Island",Feb-23,214.8
"Charlottetown and Summerside, Prince Edward Island",Mar-23,193.1
"Charlottetown and Summerside, Prince Edward Island",Apr-23,176.1
"Charlottetown and Summerside, Prince Edward Island",May-23,159.2
"Charlottetown and Summerside, Prince Edward Island",Jun-23,157.6
"Charlottetown and Summerside, Prince Edward Island",Jul-23,174.2
"Charlottetown and Summerside, Prince Edward Island",Aug-23,199.6
"Charlottetown and Summerside, Prince Edward Island",Sep-23,208.6
"Charlottetown and Summerside, Prince Edward Island",Oct-23,210.4
"Charlottetown and Summerside, Prince Edward Island",Nov-23,206.9
"Charlottetown and Summerside, Prince Edward Island",Dec-23,198.8
"Charlottetown and Summerside, Prince Edward Island",Jan-24,196.1
"Charlottetown and Summerside, Prince Edward Island",Feb-24,202.1
"Charlottetown and Summerside, Prince Edward Island",Mar-24,195.2
