Month,Year,Predicted Prices,Location
4,2024,124.8,"Charlottetown, Prince Edward Island"
5,2024,125.1,"Charlottetown, Prince Edward Island"
6,2024,125.3,"Charlottetown, Prince Edward Island"
7,2024,125.5,"Charlottetown, Prince Edward Island"
8,2024,125.8,"Charlottetown, Prince Edward Island"
9,2024,126.0,"Charlottetown, Prince Edward Island"
10,2024,126.2,"Charlottetown, Prince Edward Island"
11,2024,126.5,"Charlottetown, Prince Edward Island"
12,2024,126.7,"Charlottetown, Prince Edward Island"
1,2025,127.1,"Charlottetown, Prince Edward Island"
2,2025,127.4,"Charlottetown, Prince Edward Island"
3,2025,127.6,"Charlottetown, Prince Edward Island"
4,2025,127.8,"Charlottetown, Prince Edward Island"
5,2025,128.1,"Charlottetown, Prince Edward Island"
6,2025,128.3,"Charlottetown, Prince Edward Island"
7,2025,128.5,"Charlottetown, Prince Edward Island"
8,2025,128.8,"Charlottetown, Prince Edward Island"
9,2025,129.0,"Charlottetown, Prince Edward Island"
10,2025,129.3,"Charlottetown, Prince Edward Island"
11,2025,129.5,"Charlottetown, Prince Edward Island"
12,2025,129.7,"Charlottetown, Prince Edward Island"
1,2026,130.1,"Charlottetown, Prince Edward Island"
2,2026,130.4,"Charlottetown, Prince Edward Island"
3,2026,130.6,"Charlottetown, Prince Edward Island"
4,2026,130.9,"Charlottetown, Prince Edward Island"
5,2026,131.1,"Charlottetown, Prince Edward Island"
6,2026,131.3,"Charlottetown, Prince Edward Island"
7,2026,131.6,"Charlottetown, Prince Edward Island"
8,2026,131.8,"Charlottetown, Prince Edward Island"
9,2026,132.0,"Charlottetown, Prince Edward Island"
10,2026,132.3,"Charlottetown, Prince Edward Island"
11,2026,132.5,"Charlottetown, Prince Edward Island"
12,2026,132.8,"Charlottetown, Prince Edward Island"
1,2027,133.2,"Charlottetown, Prince Edward Island"
2,2027,133.4,"Charlottetown, Prince Edward Island"
3,2027,133.6,"Charlottetown, Prince Edward Island"
4,2027,133.9,"Charlottetown, Prince Edward Island"
5,2027,134.1,"Charlottetown, Prince Edward Island"
6,2027,134.3,"Charlottetown, Prince Edward Island"
7,2027,134.6,"Charlottetown, Prince Edward Island"
8,2027,134.8,"Charlottetown, Prince Edward Island"
9,2027,135.1,"Charlottetown, Prince Edward Island"
10,2027,135.3,"Charlottetown, Prince Edward Island"
11,2027,135.5,"Charlottetown, Prince Edward Island"
12,2027,135.8,"Charlottetown, Prince Edward Island"
1,2028,136.2,"Charlottetown, Prince Edward Island"
2,2028,136.4,"Charlottetown, Prince Edward Island"
3,2028,136.7,"Charlottetown, Prince Edward Island"
4,2028,136.9,"Charlottetown, Prince Edward Island"
5,2028,137.1,"Charlottetown, Prince Edward Island"
6,2028,137.4,"Charlottetown, Prince Edward Island"
7,2028,137.6,"Charlottetown, Prince Edward Island"
8,2028,137.8,"Charlottetown, Prince Edward Island"
9,2028,138.1,"Charlottetown, Prince Edward Island"
10,2028,138.3,"Charlottetown, Prince Edward Island"
11,2028,138.6,"Charlottetown, Prince Edward Island"
12,2028,138.8,"Charlottetown, Prince Edward Island"
1,2029,139.2,"Charlottetown, Prince Edward Island"
2,2029,139.4,"Charlottetown, Prince Edward Island"
3,2029,139.7,"Charlottetown, Prince Edward Island"
4,2024,138.1,"Halifax, Nova Scotia"
5,2024,138.2,"Halifax, Nova Scotia"
6,2024,138.4,"Halifax, Nova Scotia"
7,2024,138.6,"Halifax, Nova Scotia"
8,2024,138.7,"Halifax, Nova Scotia"
9,2024,138.9,"Halifax, Nova Scotia"
10,2024,139.1,"Halifax, Nova Scotia"
11,2024,139.2,"Halifax, Nova Scotia"
12,2024,139.4,"Halifax, Nova Scotia"
1,2025,141.0,"Halifax, Nova Scotia"
2,2025,141.2,"Halifax, Nova Scotia"
3,2025,141.3,"Halifax, Nova Scotia"
4,2025,141.5,"Halifax, Nova Scotia"
5,2025,141.7,"Halifax, Nova Scotia"
6,2025,141.8,"Halifax, Nova Scotia"
7,2025,142.0,"Halifax, Nova Scotia"
8,2025,142.2,"Halifax, Nova Scotia"
9,2025,142.3,"Halifax, Nova Scotia"
10,2025,142.5,"Halifax, Nova Scotia"
11,2025,142.7,"Halifax, Nova Scotia"
12,2025,142.8,"Halifax, Nova Scotia"
1,2026,144.4,"Halifax, Nova Scotia"
2,2026,144.6,"Halifax, Nova Scotia"
3,2026,144.7,"Halifax, Nova Scotia"
4,2026,144.9,"Halifax, Nova Scotia"
5,2026,145.1,"Halifax, Nova Scotia"
6,2026,145.2,"Halifax, Nova Scotia"
7,2026,145.4,"Halifax, Nova Scotia"
8,2026,145.6,"Halifax, Nova Scotia"
9,2026,145.7,"Halifax, Nova Scotia"
10,2026,145.9,"Halifax, Nova Scotia"
11,2026,146.1,"Halifax, Nova Scotia"
12,2026,146.2,"Halifax, Nova Scotia"
1,2027,147.8,"Halifax, Nova Scotia"
2,2027,148.0,"Halifax, Nova Scotia"
3,2027,148.1,"Halifax, Nova Scotia"
4,2027,148.3,"Halifax, Nova Scotia"
5,2027,148.5,"Halifax, Nova Scotia"
6,2027,148.6,"Halifax, Nova Scotia"
7,2027,148.8,"Halifax, Nova Scotia"
8,2027,149.0,"Halifax, Nova Scotia"
9,2027,149.1,"Halifax, Nova Scotia"
10,2027,149.3,"Halifax, Nova Scotia"
11,2027,149.5,"Halifax, Nova Scotia"
12,2027,149.6,"Halifax, Nova Scotia"
1,2028,151.2,"Halifax, Nova Scotia"
2,2028,151.4,"Halifax, Nova Scotia"
3,2028,151.5,"Halifax, Nova Scotia"
4,2028,151.7,"Halifax, Nova Scotia"
5,2028,151.9,"Halifax, Nova Scotia"
6,2028,152.1,"Halifax, Nova Scotia"
7,2028,152.2,"Halifax, Nova Scotia"
8,2028,152.4,"Halifax, Nova Scotia"
9,2028,152.6,"Halifax, Nova Scotia"
10,2028,152.7,"Halifax, Nova Scotia"
11,2028,152.9,"Halifax, Nova Scotia"
12,2028,153.1,"Halifax, Nova Scotia"
1,2029,154.6,"Halifax, Nova Scotia"
2,2029,154.8,"Halifax, Nova Scotia"
3,2029,155.0,"Halifax, Nova Scotia"
4,2024,146.5,"Montréal, Quebec"
5,2024,146.5,"Montréal, Quebec"
6,2024,146.4,"Montréal, Quebec"
7,2024,146.4,"Montréal, Quebec"
8,2024,146.4,"Montréal, Quebec"
9,2024,146.3,"Montréal, Quebec"
10,2024,146.3,"Montréal, Quebec"
11,2024,146.3,"Montréal, Quebec"
12,2024,146.3,"Montréal, Quebec"
1,2025,150.4,"Montréal, Quebec"
2,2025,150.4,"Montréal, Quebec"
3,2025,150.3,"Montréal, Quebec"
4,2025,150.3,"Montréal, Quebec"
5,2025,150.3,"Montréal, Quebec"
6,2025,150.2,"Montréal, Quebec"
7,2025,150.2,"Montréal, Quebec"
8,2025,150.2,"Montréal, Quebec"
9,2025,150.2,"Montréal, Quebec"
10,2025,150.1,"Montréal, Quebec"
11,2025,150.1,"Montréal, Quebec"
12,2025,150.1,"Montréal, Quebec"
1,2026,154.2,"Montréal, Quebec"
2,2026,154.2,"Montréal, Quebec"
3,2026,154.1,"Montréal, Quebec"
4,2026,154.1,"Montréal, Quebec"
5,2026,154.1,"Montréal, Quebec"
6,2026,154.1,"Montréal, Quebec"
7,2026,154.0,"Montréal, Quebec"
8,2026,154.0,"Montréal, Quebec"
9,2026,154.0,"Montréal, Quebec"
10,2026,153.9,"Montréal, Quebec"
11,2026,153.9,"Montréal, Quebec"
12,2026,153.9,"Montréal, Quebec"
1,2027,158.0,"Montréal, Quebec"
2,2027,158.0,"Montréal, Quebec"
3,2027,158.0,"Montréal, Quebec"
4,2027,157.9,"Montréal, Quebec"
5,2027,157.9,"Montréal, Quebec"
6,2027,157.9,"Montréal, Quebec"
7,2027,157.8,"Montréal, Quebec"
8,2027,157.8,"Montréal, Quebec"
9,2027,157.8,"Montréal, Quebec"
10,2027,157.8,"Montréal, Quebec"
11,2027,157.7,"Montréal, Quebec"
12,2027,157.7,"Montréal, Quebec"
1,2028,161.8,"Montréal, Quebec"
2,2028,161.8,"Montréal, Quebec"
3,2028,161.8,"Montréal, Quebec"
4,2028,161.7,"Montréal, Quebec"
5,2028,161.7,"Montréal, Quebec"
6,2028,161.7,"Montréal, Quebec"
7,2028,161.7,"Montréal, Quebec"
8,2028,161.6,"Montréal, Quebec"
9,2028,161.6,"Montréal, Quebec"
10,2028,161.6,"Montréal, Quebec"
11,2028,161.5,"Montréal, Quebec"
12,2028,161.5,"Montréal, Quebec"
1,2029,165.6,"Montréal, Quebec"
2,2029,165.6,"Montréal, Quebec"
3,2029,165.6,"Montréal, Quebec"
4,2024,164.4,"Ottawa, Ontario"
5,2024,164.4,"Ottawa, Ontario"
6,2024,164.3,"Ottawa, Ontario"
7,2024,164.3,"Ottawa, Ontario"
8,2024,164.2,"Ottawa, Ontario"
9,2024,164.2,"Ottawa, Ontario"
10,2024,164.1,"Ottawa, Ontario"
11,2024,164.0,"Ottawa, Ontario"
12,2024,164.0,"Ottawa, Ontario"
1,2025,169.0,"Ottawa, Ontario"
2,2025,168.9,"Ottawa, Ontario"
3,2025,168.9,"Ottawa, Ontario"
4,2025,168.8,"Ottawa, Ontario"
5,2025,168.8,"Ottawa, Ontario"
6,2025,168.7,"Ottawa, Ontario"
7,2025,168.7,"Ottawa, Ontario"
8,2025,168.6,"Ottawa, Ontario"
9,2025,168.6,"Ottawa, Ontario"
10,2025,168.5,"Ottawa, Ontario"
11,2025,168.4,"Ottawa, Ontario"
12,2025,168.4,"Ottawa, Ontario"
1,2026,173.4,"Ottawa, Ontario"
2,2026,173.3,"Ottawa, Ontario"
3,2026,173.3,"Ottawa, Ontario"
4,2026,173.2,"Ottawa, Ontario"
5,2026,173.2,"Ottawa, Ontario"
6,2026,173.1,"Ottawa, Ontario"
7,2026,173.1,"Ottawa, Ontario"
8,2026,173.0,"Ottawa, Ontario"
9,2026,172.9,"Ottawa, Ontario"
10,2026,172.9,"Ottawa, Ontario"
11,2026,172.8,"Ottawa, Ontario"
12,2026,172.8,"Ottawa, Ontario"
1,2027,177.8,"Ottawa, Ontario"
2,2027,177.7,"Ottawa, Ontario"
3,2027,177.7,"Ottawa, Ontario"
4,2027,177.6,"Ottawa, Ontario"
5,2027,177.6,"Ottawa, Ontario"
6,2027,177.5,"Ottawa, Ontario"
7,2027,177.5,"Ottawa, Ontario"
8,2027,177.4,"Ottawa, Ontario"
9,2027,177.3,"Ottawa, Ontario"
10,2027,177.3,"Ottawa, Ontario"
11,2027,177.2,"Ottawa, Ontario"
12,2027,177.2,"Ottawa, Ontario"
1,2028,182.2,"Ottawa, Ontario"
2,2028,182.1,"Ottawa, Ontario"
3,2028,182.1,"Ottawa, Ontario"
4,2028,182.0,"Ottawa, Ontario"
5,2028,182.0,"Ottawa, Ontario"
6,2028,181.9,"Ottawa, Ontario"
7,2028,181.9,"Ottawa, Ontario"
8,2028,181.8,"Ottawa, Ontario"
9,2028,181.7,"Ottawa, Ontario"
10,2028,181.7,"Ottawa, Ontario"
11,2028,181.6,"Ottawa, Ontario"
12,2028,181.6,"Ottawa, Ontario"
1,2029,186.6,"Ottawa, Ontario"
2,2029,186.5,"Ottawa, Ontario"
3,2029,186.5,"Ottawa, Ontario"
4,2024,145.4,"Québec, Quebec"
5,2024,145.5,"Québec, Quebec"
6,2024,145.5,"Québec, Quebec"
7,2024,145.5,"Québec, Quebec"
8,2024,145.5,"Québec, Quebec"
9,2024,145.5,"Québec, Quebec"
10,2024,145.5,"Québec, Quebec"
11,2024,145.6,"Québec, Quebec"
12,2024,145.6,"Québec, Quebec"
1,2025,149.1,"Québec, Quebec"
2,2025,149.1,"Québec, Quebec"
3,2025,149.1,"Québec, Quebec"
4,2025,149.1,"Québec, Quebec"
5,2025,149.1,"Québec, Quebec"
6,2025,149.2,"Québec, Quebec"
7,2025,149.2,"Québec, Quebec"
8,2025,149.2,"Québec, Quebec"
9,2025,149.2,"Québec, Quebec"
10,2025,149.2,"Québec, Quebec"
11,2025,149.2,"Québec, Quebec"
12,2025,149.3,"Québec, Quebec"
1,2026,152.8,"Québec, Quebec"
2,2026,152.8,"Québec, Quebec"
3,2026,152.8,"Québec, Quebec"
4,2026,152.8,"Québec, Quebec"
5,2026,152.8,"Québec, Quebec"
6,2026,152.8,"Québec, Quebec"
7,2026,152.9,"Québec, Quebec"
8,2026,152.9,"Québec, Quebec"
9,2026,152.9,"Québec, Quebec"
10,2026,152.9,"Québec, Quebec"
11,2026,152.9,"Québec, Quebec"
12,2026,152.9,"Québec, Quebec"
1,2027,156.4,"Québec, Quebec"
2,2027,156.4,"Québec, Quebec"
3,2027,156.5,"Québec, Quebec"
4,2027,156.5,"Québec, Quebec"
5,2027,156.5,"Québec, Quebec"
6,2027,156.5,"Québec, Quebec"
7,2027,156.5,"Québec, Quebec"
8,2027,156.6,"Québec, Quebec"
9,2027,156.6,"Québec, Quebec"
10,2027,156.6,"Québec, Quebec"
11,2027,156.6,"Québec, Quebec"
12,2027,156.6,"Québec, Quebec"
1,2028,160.1,"Québec, Quebec"
2,2028,160.1,"Québec, Quebec"
3,2028,160.1,"Québec, Quebec"
4,2028,160.2,"Québec, Quebec"
5,2028,160.2,"Québec, Quebec"
6,2028,160.2,"Québec, Quebec"
7,2028,160.2,"Québec, Quebec"
8,2028,160.2,"Québec, Quebec"
9,2028,160.2,"Québec, Quebec"
10,2028,160.3,"Québec, Quebec"
11,2028,160.3,"Québec, Quebec"
12,2028,160.3,"Québec, Quebec"
1,2029,163.8,"Québec, Quebec"
2,2029,163.8,"Québec, Quebec"
3,2029,163.8,"Québec, Quebec"
4,2024,142.0,"Regina, Saskatchewan"
5,2024,142.4,"Regina, Saskatchewan"
6,2024,142.9,"Regina, Saskatchewan"
7,2024,143.4,"Regina, Saskatchewan"
8,2024,143.9,"Regina, Saskatchewan"
9,2024,144.3,"Regina, Saskatchewan"
10,2024,144.8,"Regina, Saskatchewan"
11,2024,145.3,"Regina, Saskatchewan"
12,2024,145.7,"Regina, Saskatchewan"
1,2025,144.1,"Regina, Saskatchewan"
2,2025,144.6,"Regina, Saskatchewan"
3,2025,145.1,"Regina, Saskatchewan"
4,2025,145.5,"Regina, Saskatchewan"
5,2025,146.0,"Regina, Saskatchewan"
6,2025,146.5,"Regina, Saskatchewan"
7,2025,147.0,"Regina, Saskatchewan"
8,2025,147.4,"Regina, Saskatchewan"
9,2025,147.9,"Regina, Saskatchewan"
10,2025,148.4,"Regina, Saskatchewan"
11,2025,148.8,"Regina, Saskatchewan"
12,2025,149.3,"Regina, Saskatchewan"
1,2026,147.7,"Regina, Saskatchewan"
2,2026,148.2,"Regina, Saskatchewan"
3,2026,148.6,"Regina, Saskatchewan"
4,2026,149.1,"Regina, Saskatchewan"
5,2026,149.6,"Regina, Saskatchewan"
6,2026,150.1,"Regina, Saskatchewan"
7,2026,150.5,"Regina, Saskatchewan"
8,2026,151.0,"Regina, Saskatchewan"
9,2026,151.5,"Regina, Saskatchewan"
10,2026,151.9,"Regina, Saskatchewan"
11,2026,152.4,"Regina, Saskatchewan"
12,2026,152.9,"Regina, Saskatchewan"
1,2027,151.3,"Regina, Saskatchewan"
2,2027,151.7,"Regina, Saskatchewan"
3,2027,152.2,"Regina, Saskatchewan"
4,2027,152.7,"Regina, Saskatchewan"
5,2027,153.2,"Regina, Saskatchewan"
6,2027,153.6,"Regina, Saskatchewan"
7,2027,154.1,"Regina, Saskatchewan"
8,2027,154.6,"Regina, Saskatchewan"
9,2027,155.0,"Regina, Saskatchewan"
10,2027,155.5,"Regina, Saskatchewan"
11,2027,156.0,"Regina, Saskatchewan"
12,2027,156.5,"Regina, Saskatchewan"
1,2028,154.8,"Regina, Saskatchewan"
2,2028,155.3,"Regina, Saskatchewan"
3,2028,155.8,"Regina, Saskatchewan"
4,2028,156.2,"Regina, Saskatchewan"
5,2028,156.7,"Regina, Saskatchewan"
6,2028,157.2,"Regina, Saskatchewan"
7,2028,157.7,"Regina, Saskatchewan"
8,2028,158.1,"Regina, Saskatchewan"
9,2028,158.6,"Regina, Saskatchewan"
10,2028,159.1,"Regina, Saskatchewan"
11,2028,159.5,"Regina, Saskatchewan"
12,2028,160.0,"Regina, Saskatchewan"
1,2029,158.4,"Regina, Saskatchewan"
2,2029,158.9,"Regina, Saskatchewan"
3,2029,159.3,"Regina, Saskatchewan"
4,2024,149.7,"Saint John, New Brunswick"
5,2024,150.0,"Saint John, New Brunswick"
6,2024,150.3,"Saint John, New Brunswick"
7,2024,150.7,"Saint John, New Brunswick"
8,2024,151.0,"Saint John, New Brunswick"
9,2024,151.3,"Saint John, New Brunswick"
10,2024,151.7,"Saint John, New Brunswick"
11,2024,152.0,"Saint John, New Brunswick"
12,2024,152.3,"Saint John, New Brunswick"
1,2025,152.5,"Saint John, New Brunswick"
2,2025,152.8,"Saint John, New Brunswick"
3,2025,153.2,"Saint John, New Brunswick"
4,2025,153.5,"Saint John, New Brunswick"
5,2025,153.8,"Saint John, New Brunswick"
6,2025,154.1,"Saint John, New Brunswick"
7,2025,154.5,"Saint John, New Brunswick"
8,2025,154.8,"Saint John, New Brunswick"
9,2025,155.1,"Saint John, New Brunswick"
10,2025,155.5,"Saint John, New Brunswick"
11,2025,155.8,"Saint John, New Brunswick"
12,2025,156.1,"Saint John, New Brunswick"
1,2026,156.3,"Saint John, New Brunswick"
2,2026,156.6,"Saint John, New Brunswick"
3,2026,157.0,"Saint John, New Brunswick"
4,2026,157.3,"Saint John, New Brunswick"
5,2026,157.6,"Saint John, New Brunswick"
6,2026,158.0,"Saint John, New Brunswick"
7,2026,158.3,"Saint John, New Brunswick"
8,2026,158.6,"Saint John, New Brunswick"
9,2026,158.9,"Saint John, New Brunswick"
10,2026,159.3,"Saint John, New Brunswick"
11,2026,159.6,"Saint John, New Brunswick"
12,2026,159.9,"Saint John, New Brunswick"
1,2027,160.1,"Saint John, New Brunswick"
2,2027,160.4,"Saint John, New Brunswick"
3,2027,160.8,"Saint John, New Brunswick"
4,2027,161.1,"Saint John, New Brunswick"
5,2027,161.4,"Saint John, New Brunswick"
6,2027,161.8,"Saint John, New Brunswick"
7,2027,162.1,"Saint John, New Brunswick"
8,2027,162.4,"Saint John, New Brunswick"
9,2027,162.7,"Saint John, New Brunswick"
10,2027,163.1,"Saint John, New Brunswick"
11,2027,163.4,"Saint John, New Brunswick"
12,2027,163.7,"Saint John, New Brunswick"
1,2028,163.9,"Saint John, New Brunswick"
2,2028,164.2,"Saint John, New Brunswick"
3,2028,164.6,"Saint John, New Brunswick"
4,2028,164.9,"Saint John, New Brunswick"
5,2028,165.2,"Saint John, New Brunswick"
6,2028,165.6,"Saint John, New Brunswick"
7,2028,165.9,"Saint John, New Brunswick"
8,2028,166.2,"Saint John, New Brunswick"
9,2028,166.6,"Saint John, New Brunswick"
10,2028,166.9,"Saint John, New Brunswick"
11,2028,167.2,"Saint John, New Brunswick"
12,2028,167.5,"Saint John, New Brunswick"
1,2029,167.7,"Saint John, New Brunswick"
2,2029,168.0,"Saint John, New Brunswick"
3,2029,168.4,"Saint John, New Brunswick"
4,2024,136.3,"Saskatoon, Saskatchewan"
5,2024,136.7,"Saskatoon, Saskatchewan"
6,2024,137.2,"Saskatoon, Saskatchewan"
7,2024,137.6,"Saskatoon, Saskatchewan"
8,2024,138.1,"Saskatoon, Saskatchewan"
9,2024,138.6,"Saskatoon, Saskatchewan"
10,2024,139.0,"Saskatoon, Saskatchewan"
11,2024,139.5,"Saskatoon, Saskatchewan"
12,2024,140.0,"Saskatoon, Saskatchewan"
1,2025,138.2,"Saskatoon, Saskatchewan"
2,2025,138.6,"Saskatoon, Saskatchewan"
3,2025,139.1,"Saskatoon, Saskatchewan"
4,2025,139.6,"Saskatoon, Saskatchewan"
5,2025,140.0,"Saskatoon, Saskatchewan"
6,2025,140.5,"Saskatoon, Saskatchewan"
7,2025,140.9,"Saskatoon, Saskatchewan"
8,2025,141.4,"Saskatoon, Saskatchewan"
9,2025,141.9,"Saskatoon, Saskatchewan"
10,2025,142.3,"Saskatoon, Saskatchewan"
11,2025,142.8,"Saskatoon, Saskatchewan"
12,2025,143.2,"Saskatoon, Saskatchewan"
1,2026,141.5,"Saskatoon, Saskatchewan"
2,2026,141.9,"Saskatoon, Saskatchewan"
3,2026,142.4,"Saskatoon, Saskatchewan"
4,2026,142.8,"Saskatoon, Saskatchewan"
5,2026,143.3,"Saskatoon, Saskatchewan"
6,2026,143.8,"Saskatoon, Saskatchewan"
7,2026,144.2,"Saskatoon, Saskatchewan"
8,2026,144.7,"Saskatoon, Saskatchewan"
9,2026,145.1,"Saskatoon, Saskatchewan"
10,2026,145.6,"Saskatoon, Saskatchewan"
11,2026,146.1,"Saskatoon, Saskatchewan"
12,2026,146.5,"Saskatoon, Saskatchewan"
1,2027,144.7,"Saskatoon, Saskatchewan"
2,2027,145.2,"Saskatoon, Saskatchewan"
3,2027,145.7,"Saskatoon, Saskatchewan"
4,2027,146.1,"Saskatoon, Saskatchewan"
5,2027,146.6,"Saskatoon, Saskatchewan"
6,2027,147.1,"Saskatoon, Saskatchewan"
7,2027,147.5,"Saskatoon, Saskatchewan"
8,2027,148.0,"Saskatoon, Saskatchewan"
9,2027,148.4,"Saskatoon, Saskatchewan"
10,2027,148.9,"Saskatoon, Saskatchewan"
11,2027,149.4,"Saskatoon, Saskatchewan"
12,2027,149.8,"Saskatoon, Saskatchewan"
1,2028,148.0,"Saskatoon, Saskatchewan"
2,2028,148.5,"Saskatoon, Saskatchewan"
3,2028,149.0,"Saskatoon, Saskatchewan"
4,2028,149.4,"Saskatoon, Saskatchewan"
5,2028,149.9,"Saskatoon, Saskatchewan"
6,2028,150.3,"Saskatoon, Saskatchewan"
7,2028,150.8,"Saskatoon, Saskatchewan"
8,2028,151.3,"Saskatoon, Saskatchewan"
9,2028,151.7,"Saskatoon, Saskatchewan"
10,2028,152.2,"Saskatoon, Saskatchewan"
11,2028,152.6,"Saskatoon, Saskatchewan"
12,2028,153.1,"Saskatoon, Saskatchewan"
1,2029,151.3,"Saskatoon, Saskatchewan"
2,2029,151.8,"Saskatoon, Saskatchewan"
3,2029,152.2,"Saskatoon, Saskatchewan"
4,2024,130.6,"St. John's, Newfoundland and Labrador"
5,2024,131.0,"St. John's, Newfoundland and Labrador"
6,2024,131.3,"St. John's, Newfoundland and Labrador"
7,2024,131.6,"St. John's, Newfoundland and Labrador"
8,2024,131.9,"St. John's, Newfoundland and Labrador"
9,2024,132.2,"St. John's, Newfoundland and Labrador"
10,2024,132.6,"St. John's, Newfoundland and Labrador"
11,2024,132.9,"St. John's, Newfoundland and Labrador"
12,2024,133.2,"St. John's, Newfoundland and Labrador"
1,2025,132.8,"St. John's, Newfoundland and Labrador"
2,2025,133.1,"St. John's, Newfoundland and Labrador"
3,2025,133.4,"St. John's, Newfoundland and Labrador"
4,2025,133.8,"St. John's, Newfoundland and Labrador"
5,2025,134.1,"St. John's, Newfoundland and Labrador"
6,2025,134.4,"St. John's, Newfoundland and Labrador"
